volume,band,window_lo,window_hi,docs,docs_with_tei_year,marked_all,marked_fromto,fromto_known,fromto_unique_win,fromto_dated,fromto_unique_docyear,all_known,all_unique_win,control_filtered_rows,control_novel,novel_known,novel_unique_win
frus1861,1861-1899,1860,1861,312,312,696,696,639,291,696,291,639,291,1649,1591,877,416
frus1862,1861-1899,1860,1862,720,720,1625,1625,1444,582,1625,582,1444,582,4744,4581,1939,584
frus1863p1,1861-1899,1861,1863,695,695,1918,1918,1482,506,1918,494,1482,506,6580,6427,2980,643
frus1863p2,1861-1899,1862,1863,641,641,1500,1500,1318,546,1500,547,1318,546,3872,3559,1312,406
frus1864p1,1861-1899,1861,1864,398,398,1416,1416,903,297,1416,293,903,297,7910,7494,3348,551
frus1864p2,1861-1899,1861,1865,594,594,1779,1779,1126,247,1779,240,1126,247,8213,7972,3175,515
frus1864p3,1861-1899,1863,1864,529,529,1411,1406,1189,532,1406,532,1193,534,4462,4136,1474,315
frus1864p4,1861-1899,1863,1864,484,484,957,957,871,377,957,377,871,377,2496,2328,777,207
frus1865p1,1861-1899,1860,1865,391,391,1161,1128,1064,594,1128,589,1090,605,6837,6655,2946,748
frus1865p2,1861-1899,1863,1865,675,675,1857,1837,1277,429,1837,426,1284,431,5556,4942,2051,408
frus1865p3,1861-1899,1860,1866,766,766,1845,1807,1532,616,1807,621,1550,622,6409,5995,1832,441
frus1865p4,1861-1899,1865,1866,1146,1146,324,324,211,119,324,119,211,119,6915,6832,3734,284
frus1866p1,1861-1899,1860,1866,516,516,1403,1403,1167,363,1403,436,1167,363,6052,5808,2106,443
frus1866p2,1861-1899,1860,1866,558,558,1570,1570,1189,543,1570,542,1189,543,4335,4021,921,332
frus1866p3,1861-1899,1865,1866,223,223,631,631,528,142,631,142,528,142,7043,6648,1107,136
frus1867p1,1861-1899,1861,1868,640,640,1448,1448,1177,440,1448,431,1177,440,5041,4772,1489,423
frus1867p2,1861-1899,1866,1867,515,515,1483,1483,1105,359,1483,359,1105,359,8259,7751,1280,281
frus1868p1,1861-1899,1867,1869,399,399,994,994,724,241,994,253,724,241,6898,6532,2092,509
frus1868p2,1861-1899,1866,1868,668,668,1860,1860,1298,579,1860,532,1298,579,8045,7692,1595,547
frus1870,1861-1899,1869,1870,300,300,828,828,638,544,828,543,638,544,2571,2353,549,251
frus1871,1861-1899,1870,1871,436,436,1154,1154,954,833,1154,831,954,833,5287,4935,1269,407
frus1872p1,1861-1899,1870,1872,502,502,1340,1340,1114,981,1340,990,1114,981,4004,3772,649,99
frus1872p2v1,1861-1899,1811,1872,512,512,1044,1039,599,316,1039,221,602,319,7392,6674,2924,964
frus1872p2v2,1861-1899,1803,1873,272,272,490,490,357,263,490,268,357,263,3125,2855,1119,428
frus1872p2v3,1861-1899,1871,1872,40,40,0,0,0,0,0,0,0,0,3193,3193,1369,65
frus1872p2v4,1861-1899,1871,1872,50,50,2,2,2,2,2,2,2,2,4037,4037,1610,145
frus1872p2v5,1861-1899,1620,1872,163,163,200,200,150,94,200,122,150,94,2885,2833,745,249
frus1873p2v3,1861-1899,1793,1874,84,84,38,38,28,24,38,15,28,24,3717,3701,1678,389
frus1874,1861-1899,1873,1874,816,816,2293,2293,1851,1558,2293,1558,1851,1558,8696,8232,1676,244
frus1875v01,1861-1899,1871,1875,308,308,1015,1015,826,713,1015,710,826,713,4145,3933,797,220
frus1875v02,1861-1899,1873,1875,399,399,1132,1132,884,814,1132,812,884,814,4113,3887,865,182
frus1876,1861-1899,1870,1876,349,349,840,840,722,255,840,331,722,255,3562,3422,727,103
frus1877,1861-1899,1876,1877,354,354,863,863,726,457,863,457,726,457,3431,3240,608,87
frus1877app,1861-1899,1877,1877,46,46,90,90,66,30,90,30,66,30,270,256,41,8
frus1878,1861-1899,1877,1878,550,550,1568,1568,1260,1046,1568,1044,1260,1046,6121,5783,1412,215
frus1879,1861-1899,1851,1879,535,535,1510,1510,1201,983,1510,966,1201,983,5446,5117,1191,466
frus1880,1861-1899,1879,1880,667,667,1812,1812,1444,1165,1812,1162,1444,1165,5899,5460,1176,254
frus1881,1861-1899,1880,1881,755,755,2178,2178,1725,1027,2178,1025,1725,1027,6786,6209,1409,341
frus1882,1861-1899,1866,1882,405,405,1281,1281,993,675,1281,691,993,675,4150,3475,1191,287
frus1883,1861-1899,1882,1883,600,600,1845,1845,1446,1215,1845,1210,1446,1215,6432,5517,1102,320
frus1884,1861-1899,1881,1884,474,474,1429,1428,1124,922,1428,945,1125,923,4339,3646,785,325
frus1885,1861-1899,1884,1886,715,715,2283,2280,1632,1450,2280,1447,1633,1450,6852,6117,1184,511
frus1886,1861-1899,1884,1886,452,452,1178,1178,921,744,1178,744,921,744,7167,6912,1638,331
frus1887,1861-1899,1880,1888,701,701,1933,1933,1556,1298,1933,1327,1556,1298,8330,7890,2617,956
frus1888p1,1861-1899,1884,1889,715,715,3311,2076,1666,1341,2076,1363,2446,1923,6965,5528,1428,350
frus1888p2,1861-1899,1885,1889,644,644,1898,1898,1417,1100,1898,1100,1417,1100,6975,6419,2420,902
frus1889,1861-1899,1884,1890,350,350,1046,1046,809,652,1046,652,809,652,6125,5859,1736,725
frus1890,1861-1899,1889,1890,502,502,1536,1536,1174,1086,1536,1086,1174,1086,7411,6917,2529,1222
frus1891,1861-1899,1888,1892,688,688,1744,1740,1287,1119,1740,1162,1289,1121,6152,5810,1964,908
frus1892,1861-1899,1887,1892,536,536,1526,1526,1201,948,1526,1007,1201,948,5084,4367,1627,627
frus1893,1861-1899,1883,1894,698,698,2114,2114,1664,1081,2114,1178,1664,1081,6043,5394,1863,577
frus1894,1861-1899,1892,1895,825,825,2276,2276,1781,1430,2276,1430,1781,1430,5378,4629,1541,652
frus1894Nicaragua,1861-1899,1894,1895,138,138,445,445,281,272,445,272,281,272,1757,1643,388,115
frus1894app1,1861-1899,1886,1895,812,812,1821,1821,1234,1058,1821,1190,1234,1058,4490,3941,1083,465
frus1894app2,1861-1899,1826,1895,522,522,970,970,858,621,970,766,858,621,11212,11003,5456,2171
frus1895p1,1861-1899,1893,1896,686,686,1686,1686,1323,1199,1686,1221,1323,1199,6841,6169,2053,979
frus1895p2,1861-1899,1877,1896,767,767,2141,2141,1625,1049,2141,1410,1625,1049,7367,6766,2157,746
frus1896,1861-1899,1890,1897,897,897,2438,2438,1926,1399,2438,1504,1926,1399,7579,6903,1935,782
frus1897,1861-1899,1896,1898,621,621,1536,1536,1203,1092,1536,1091,1203,1092,4285,3889,1550,801
frus1898,1861-1899,1894,1899,1194,1194,2784,2784,2270,2106,2784,2098,2270,2106,6101,5548,2012,941
frus1899,1861-1899,1893,1900,810,810,2082,2082,1666,1459,2082,1471,1666,1459,5557,5090,1679,797
frus1900,1900-1929,1897,1901,1075,1075,2565,2562,1988,1872,2562,1830,1990,1872,7267,6549,1867,1043
frus1901,1900-1929,1886,1902,543,543,1360,1360,1047,866,1360,918,1047,866,3457,3106,1084,461
frus1901China,1900-1929,1900,1901,312,312,728,728,577,574,728,395,577,574,2115,2055,293,219
frus1902,1900-1929,1891,1903,1028,1028,2921,2920,2256,2019,2920,2018,2256,2019,7327,6444,2116,1070
frus1902app1,1900-1929,1820,1902,198,198,45,45,25,24,45,23,25,24,3481,3477,1150,221
