  frus1865p1/d93         fort anderson    placeName in vol=  725 persName= 1161 | key-last-token inside <placeName>: 0
  frus1865p1/d93         wilmington       placeName in vol=  725 persName= 1161 | key-last-token inside <placeName>: 0
  frus1872p2v5/d82       jno              placeName in vol=  161 persName=  200 | key-last-token inside <placeName>: 0
  frus1937v01/d382       seville          placeName in vol=  986 persName=  932 | key-last-token inside <placeName>: 0
  frus1937v01/d566       harding          placeName in vol=  986 persName=  932 | key-last-token inside <placeName>: 0
  frus1937v01/d566       hunzedal         placeName in vol=  986 persName=  932 | key-last-token inside <placeName>: 0
  frus1937v01/d566       rudolf           placeName in vol=  986 persName=  932 | key-last-token inside <placeName>: 0
  frus1937v01/d566       wolf             placeName in vol=  986 persName=  932 | key-last-token inside <placeName>: 0
  frus1938v05/d91        puerto caballo   placeName in vol=  923 persName=  883 | key-last-token inside <placeName>: 0
  frus1941v05/d422       dutch timor      placeName in vol=  994 persName=  941 | key-last-token inside <placeName>: 0
  frus1941v05/d454       british malaya   placeName in vol=  994 persName=  941 | key-last-token inside <placeName>: 0
  frus1941v05/d454       medan            placeName in vol=  994 persName=  941 | key-last-token inside <placeName>: 0
  frus1944v06/d93        kunming          placeName in vol=  928 persName=  922 | key-last-token inside <placeName>: 0
  frus1944v06/d93        shensi           placeName in vol=  928 persName=  922 | key-last-token inside <placeName>: 0
  frus1944v06/d93        tungkuan         placeName in vol=  928 persName=  922 | key-last-token inside <placeName>: 0
  frus1946v06/d159       zecho            placeName in vol=  690 persName=  625 | key-last-token inside <placeName>: 0
  frus1946v06/d88        mother           placeName in vol=  690 persName=  625 | key-last-token inside <placeName>: 0
  frus1946v10/d337       north kiangsu    placeName in vol= 1113 persName= 1212 | key-last-token inside <placeName>: 0
  frus1946v10/d337       yellow river     placeName in vol= 1113 persName= 1212 | key-last-token inside <placeName>: 0
  frus1946v10/d720       fuhsin           placeName in vol= 1113 persName= 1212 | key-last-token inside <placeName>: 0
  frus1946v10/d720       peipiao          placeName in vol= 1113 persName= 1212 | key-last-token inside <placeName>: 0
  frus1946v10/d720       takao            placeName in vol= 1113 persName= 1212 | key-last-token inside <placeName>: 0
  frus1951v01/d183       delga            placeName in vol=  761 persName=  508 | key-last-token inside <placeName>: 0
  frus1951v01/d183       telegram delga   placeName in vol=  761 persName=  508 | key-last-token inside <placeName>: 0
