## B|1861-1899|nobody:explained-as-uncovered-role count=7634
  frus1872p2v1/d236 1849-08-21 head/from name='Preston' | head='Mr. Preston , Secretary of the Navy, to Commodore Downes , United States Navy.' | chap=  lettersReceived | pocom=nobody | rule=[] 
  frus1867p2/d425 1867-09-20 head/to name='Mr. Romero' | head='Mr. Seward to Mr. Romero' | chap=Mexico. mexico d.Instructions,notesToFM | pocom=nobody | rule=[] 
  frus1896/d754 1896-01-06 head/to name='Williams' | head='Mr. Olney to Mr. Williams .' | chap=Spain spain d.Instructions,notesToFM | pocom=nobody | rule=[] 
  frus1863p2/d301 1863-09-03 head/to name='Mr. Perry' | head='Mr. Seward to Mr. Perry' | chap=Spain. spain d.Instructions,notesToFM | pocom=nobody | rule=[] 
  frus1896/d703 1895-03-11 head/to name='Williams' | head='Mr. Uhl to Mr. Williams .' | chap=Spain spain d.Instructions,notesToFM | pocom=nobody | rule=[] 
  frus1886/d102 1885-04-11 head/from name='Beach' | head='No. 98. Mr. Beach to Mr. Hunter .' | chap=Ecuador ecuador consularDespatches | pocom=nobody | rule=[] 
  frus1899/d592 1899-04-25 enclosure/to name='Holloway' | head='Mr. Tower to Mr. Hay .' | chap=Russia russia d.Despatches | pocom=nobody | rule=[] 
  frus1875v01/d266 1875-03-12 enclosure/to name='Loring' | head='No. 262. Mr. Fish to General Schenck .' | chap=Great Britain. united-kingdom d.Instructions,notesToFM | pocom=nobody | rule=[] 
  frus1881/d660 1881-11-02 enclosure/to name='Miller &amp; Houghton' | head='No. 656. Mr. Blaine to Mr. Fairchild .' | chap=Spain spain d.Instructions,notesToFM | pocom=nobody | rule=[] 
  frus1892/d142 1892-04-29 enclosure/to name='Black' | head='Mr. Phelps to Mr. Blaine .' | chap=Germany germany d.Despatches | pocom=nobody | rule=[] 
## B|1861-1899|nobody:unexplained count=146
  frus1872p2v1/d348 1860-04-06 head/to name='Fish' | head='[35] * Vice-Admiral Porter , for Secretary of the Wavy, to Mr. Fish ,' | chap=  lettersReceived | pocom=nobody | rule=[] 
  frus1868p1/d185 1868-03-21 head/to name='Mr. Thornton' | head='Lord Stanley to Mr. Thornton' | chap=British legation. united-kingdom d.Despatches | pocom=nobody | rule=[] 
  frus1863p1/d53 1862-10-30 head/to name='Mr. Mason' | head='Mr Mallory to Mr. Mason .' | chap=Great Britain. united-kingdom lettersReceived | pocom=nobody | rule=[] 
  frus1882/d131 1881-06-24 head/to name='E. Thornton' | head='No. 6. Earl Granville to Sir E. Thornton .' | chap=Great Britain. united-kingdom d.Despatches | pocom=nobody | rule=[] 
