band	volume	last_two_path_titles	docs
1861-1899	frus1872p2v1	Additional documents, correspondence, and evidence accompanying counter case of the United States / Correspondence.	189
1861-1899	frus1894app2	Message from the President of the United States, transmitting A report of the Secretary of State, with copies of the instructions given to Mr. Albert S. Willis, the representative of the United States now in the Hawaiian Islands, and also the correspondence since March 4, 1889, concerning the relations of this Government to those islands. / List of papers.	151
1861-1899	frus1894app1	VI. Affairs in the Samoan IslandsReprinted from Senate Ex. Doe. No. 93, 53d Cong., 2d sess.; Senate Ex. Doc. No. 132, 53d Cong., 2d sess., and Senate Ex. Doc. No. 97, 53d Cong., 3d sess. / Correspondence Between the Department of State and the German Embassy.	146
1861-1899	frus1894app1	VI. Affairs in the Samoan IslandsReprinted from Senate Ex. Doe. No. 93, 53d Cong., 2d sess.; Senate Ex. Doc. No. 132, 53d Cong., 2d sess., and Senate Ex. Doc. No. 97, 53d Cong., 3d sess. / Correspondence Communicated to Mr. Blaine by Sir J. Pauncefote, December 24, 1891.	136
1861-1899	frus1894app1	II. Enforcement of regulations respecting fur sealsPrinted also in Senate Ex. Doc. No. 67, Fifty-third Congress, third session.	118
1861-1899	frus1894app1	I. Chinese-Japanese war	106
1861-1899	frus1894Nicaragua	Affairs at Bluefields	103
1861-1899	frus1872p2v2	Correspondence respecting the Geneva arbitration and the proposed supplemental Article to the Treaty. / Correspondence respecting the Geneva arbitration.	97
1861-1899	frus1872p2v1	Additional documents, correspondence, and evidence accompanying counter case of the United States / [807] *Cuban correspondence, 1866–1871.	93
1861-1899	frus1894app1	III. Mosquito Territory, affairs at BluefieldsSee Senate Ex. Doc. No. 20, Fifty-third Congress, third session.	81
1861-1899	frus1894app1	IV. Claim of Antonio Maximo MoraReprinted from Sen. Ex. Doc. No. 175 Fifty-second Congress, first session; Sen. Ex. Doc. No. 115, Fifty-third Congress:, second session, and Sen. Ex. Doc. No. 10, Fifty-third Congress, third session.	65
1861-1899	frus1865p4	United States of America	59
1861-1899	frus1894app2	Message from the President of the United States on the Hawaiian question. / Index of instructions.	59
1861-1899	frus1872p2v5	I. Memorial on the Canal de Haro as the boundary line of the United States of America, presented in the name of the American government to His Majesty William I, German Emperor and King of Prussia, as arbitrator, by the American plenipotentiary, George Bancroft. / Appendix.	58
1861-1899	frus1896	South African Republic / Protection to American citizens in the Transvaal	50
1861-1899	frus1894app2	Appendix. / List of accompanying papers.	45
1861-1899	frus1894app2	List of Papers–Miscellaneous. / Part IV–Miscellaneous.	39
1861-1899	frus1888p2	Supplement C: Papers relating to the seizure of British sealing-vessels in Behring Sea / Papers relating to the seizure of British sealing-vessels in Bering Sea.	37
1861-1899	frus1894app2	List of statements and interviews. / interviews arranged alphabetically.	36
1861-1899	frus1899	Samoa / Samoan affairs	35
1861-1899	frus1894app1	V. Import duties on certain products of Colombia, Haiti, and VenezuelaReprinted from Senate Ex. Doc. No. 56, Fifty-third Congress, second session.	34
