volume	volumeYear	docsInCache	docsInStructure	docsUnderCountryTitle	shareUnderCountryTitle	countryTitleCount	a	b	c	e	d	gate_year>=1906	gate_noDateline	gate_noYear	gate_noSectionPath
frus1861	1861	313	312	300	0.9615	21	273	2	4	0	34	0	1	0	0
frus1862	1862	721	720	711	0.9875	25	629	8	20	3	61	0	6	1	0
frus1863p1	1863	695	695	357	0.5137	1	345	1	0	0	349	0	1	1	0
frus1863p2	1863	641	641	592	0.9236	20	525	31	13	1	71	0	1	0	0
frus1864p1	1864	399	398	351	0.8819	1	334	0	0	0	65	0	2	0	0
frus1864p2	1864	594	594	0	0.0	0	0	0	0	1	593	0	1	0	0
frus1864p3	1864	529	529	450	0.8507	5	449	0	0	0	80	0	0	0	0
frus1864p4	1864	484	484	438	0.905	12	367	33	0	0	84	0	0	3	0
frus1865p1	1865	393	391	391	1.0	1	390	0	0	0	3	0	2	0	0
frus1865p2	1865	675	675	311	0.4607	5	292	2	12	0	369	0	5	1	0
frus1865p3	1865	766	766	730	0.953	12	586	35	68	0	77	0	1	3	0
frus1865p4	1865	1147	1146	1041	0.9084	34	723	6	9	7	402	0	87	125	0
frus1866p1	1866	516	516	380	0.7364	8	376	2	0	0	138	0	0	0	0
frus1866p2	1866	558	558	462	0.828	21	337	11	0	0	210	0	0	0	0
frus1866p3	1866	223	223	96	0.4305	3	89	0	0	0	134	0	2	1	0
frus1867p1	1867	640	640	622	0.9719	13	538	12	11	0	79	0	0	0	0
frus1867p2	1867	515	515	478	0.9282	18	339	21	35	0	120	0	1	1	0
frus1868p1	1868	399	399	344	0.8622	6	339	2	0	0	58	0	2	3	0
frus1868p2	1868	668	668	640	0.9581	27	539	20	14	2	93	0	7	6	0
frus1870	1870	301	300	220	0.7333	16	178	16	4	3	100	0	4	0	0
frus1871	1871	436	436	421	0.9656	23	351	5	8	0	72	0	3	4	0
frus1872p1	1872	503	502	484	0.9641	29	390	16	1	0	96	0	6	0	0
frus1872p2v1	1872	513	512	0	0.0	0	0	0	0	32	481	0	10	18	0
frus1872p2v2	1872	272	272	0	0.0	0	0	3	0	0	269	0	16	32	0
frus1872p2v3	1872	40	40	0	0.0	0	0	0	0	0	40	0	2	12	0
frus1872p2v4	1872	50	50	0	0.0	0	0	0	0	0	50	0	1	7	0
frus1872p2v5	1872	164	163	0	0.0	0	0	0	0	0	164	0	4	22	0
frus1873p1v1	1873	310	309	0	0.0	0	0	0	0	0	310	0	5	0	0
frus1873p1v2	1873	324	324	67	0.2068	23	27	22	0	1	274	0	8	48	0
frus1873p2v3	1873	84	84	0	0.0	0	0	0	0	0	84	0	2	18	0
