volume,band,docs,added_pairs,agr_docs,agr_pairs,agr_rows_distinct,docs_gaining
frus1861,1861-1899,312,878,312,1535,2127,292
frus1862,1861-1899,720,2375,716,3878,5438,691
frus1863p1,1861-1899,695,2897,695,4488,6735,608
frus1863p2,1861-1899,641,1980,639,3359,4403,592
frus1864p1,1861-1899,398,2832,397,3877,7114,350
frus1864p2,1861-1899,594,3527,594,5041,7567,508
frus1864p3,1861-1899,529,2029,529,3247,4838,524
frus1864p4,1861-1899,484,1322,480,2241,2698,439
frus1865p1,1861-1899,391,2578,391,3538,6387,390
frus1865p2,1861-1899,675,2393,674,4027,5794,640
frus1865p3,1861-1899,766,3245,765,4922,6993,718
frus1865p4,1861-1899,1146,4178,1072,4502,5698,1064
frus1866p1,1861-1899,516,2747,515,3937,5915,471
frus1866p2,1861-1899,558,1844,557,3148,4560,467
frus1866p3,1861-1899,223,2671,223,3207,6177,215
frus1867p1,1861-1899,640,2201,636,3567,5363,542
frus1867p2,1861-1899,515,3399,515,4628,7882,460
frus1868p1,1861-1899,399,2512,397,3398,6126,382
frus1868p2,1861-1899,668,3250,668,4734,8118,598
frus1870,1861-1899,300,977,299,1676,2699,235
frus1871,1861-1899,436,2046,434,3034,4905,374
frus1872p1,1861-1899,502,1738,496,2860,4395,374
frus1872p2v1,1861-1899,512,2011,502,3009,6867,431
frus1872p2v2,1861-1899,272,823,239,1208,2734,189
frus1872p2v3,1861-1899,40,1001,38,1001,2257,38
frus1872p2v4,1861-1899,50,914,47,916,2593,47
frus1872p2v5,1861-1899,163,674,152,857,1940,135
frus1873p2v3,1861-1899,84,1330,80,1366,2209,80
frus1874,1861-1899,816,3170,810,5023,8912,599
frus1875v01,1861-1899,308,1634,308,2360,4156,262
frus1875v02,1861-1899,399,1670,399,2579,4251,302
frus1876,1861-1899,349,1570,347,2285,3527,283
frus1877,1861-1899,354,1450,353,2216,3387,297
frus1877app,1861-1899,46,69,45,158,200,35
frus1878,1861-1899,550,2575,546,3883,6147,450
frus1879,1861-1899,535,2049,525,3256,5400,427
frus1880,1861-1899,667,2345,665,3884,6219,563
frus1881,1861-1899,755,2726,754,4486,7578,649
frus1882,1861-1899,405,1474,405,2453,4674,350
frus1883,1861-1899,600,2211,600,3674,6862,514
frus1884,1861-1899,474,1471,474,2620,4940,379
frus1885,1861-1899,715,2406,713,4155,7612,613
frus1886,1861-1899,452,2669,450,3685,6914,346
frus1887,1861-1899,701,3139,701,4778,8010,646
frus1888p1,1861-1899,715,2662,715,5460,8743,633
frus1888p2,1861-1899,644,2205,642,3759,7336,557
frus1889,1861-1899,350,1728,350,2571,6043,312
frus1890,1861-1899,502,2318,502,3509,7568,462
frus1891,1861-1899,688,2538,684,4004,6777,539
frus1892,1861-1899,536,1828,536,3113,5732,470
frus1893,1861-1899,698,2366,698,4049,7173,541
frus1894,1861-1899,825,2117,823,4009,6592,665
frus1894Nicaragua,1861-1899,138,817,138,1165,1918,114
frus1894app1,1861-1899,812,1935,807,3621,5533,582
frus1894app2,1861-1899,522,4759,522,5631,9806,457
frus1895p1,1861-1899,686,2223,686,3693,7264,564
frus1895p2,1861-1899,767,2513,767,4296,8518,623
frus1896,1861-1899,897,2972,897,4997,8704,741
frus1897,1861-1899,621,1917,621,3279,5124,532
frus1898,1861-1899,1194,2696,1191,5129,7631,830
frus1899,1861-1899,810,2407,807,4182,6621,657
frus1900,1900-1929,1075,2832,1063,4959,8246,810
frus1901,1900-1929,543,1427,520,2551,4109,421
frus1901China,1900-1929,312,888,306,1524,2309,161
frus1902,1900-1929,1028,3015,1022,5340,8932,828
