frus1861	d72
frus1885	d217
frus1866p2	d162
frus1862	d477
frus1897	d147
frus1895p2	d37
frus1895p2	d667
frus1863p1	d165
frus1894Nicaragua	d52
frus1867p1	d307
frus1889	d257
frus1865p2	d611
frus1863p1	d228
frus1868p1	d337
frus1871	d16
frus1894app1	d120
frus1894app2	d192
frus1895p2	d536
frus1894app1	d130
frus1870	d71
frus1894	d578
frus1887	d225
frus1867p1	d314
frus1864p4	d376
frus1871	d122
frus1865p1	d114
frus1880	d532
frus1871	d1
frus1894	d376
frus1863p2	d281
frus1866p1	d510
frus1878	d422
frus1866p1	d357
frus1894	d311
frus1883	d74
frus1895p1	d394
frus1890	d436
frus1878	d227
frus1885	d433
frus1876	d291
frus1885	d322
frus1867p1	d629
frus1891	d455
frus1885	d661
frus1864p2	d232
frus1864p3	d264
frus1898	d103
frus1865p4	d553
frus1885	d643
frus1893	d52
frus1885	d215
frus1864p4	d158
frus1895p2	d446
frus1892	d306
frus1895p2	d189
frus1898	d728
frus1878	d441
frus1868p2	d575
frus1898	d285
frus1872p2v3	d28
frus1879	d373
frus1863p1	d637
frus1897	d134
frus1887	d135
frus1890	d440
frus1874	d404
frus1898	d461
frus1898	d250
frus1894	d94
frus1888p1	d223
frus1893	d382
frus1895p1	d173
frus1888p2	d144
frus1887	d288
frus1894app2	d124
frus1893	d84
frus1888p2	d272
frus1894app2	d177
frus1888p1	d33
frus1896	d129
frus1899	d496
frus1893	d301
frus1894	d624
frus1888p1	d688
frus1890	d339
frus1865p3	d719
frus1894	d98
frus1888p2	d131
frus1868p2	d105
frus1872p2v2	d43
frus1864p3	d158
frus1874	d102
frus1888p2	d282
frus1894app1	d322
frus1894	d406
frus1897	d369
frus1862	d418
frus1891	d438
frus1866p1	d113
frus1899	d791
frus1925v02	d105
frus1912	d1592
frus1927v02	d501
frus1910	d675
frus1920v01	d46
frus1928v01	d244
frus1906p1	d103
frus1905	d989
frus1914	d1176
frus1909	d544
frus1914-20v02	d195
frus1917	d821
frus1918	d315
frus1927v01	d78
frus1901	d478
frus1926v02	d242
frus1927v01	d334
frus1913	d164
frus1905	d396
frus1924v01	d682
frus1928v03	d743
frus1921v01	d482
frus1919v02	d211
frus1926v01	d586
frus1903	d65
frus1911	d384
frus1913	d644
frus1901	d115
frus1918	d446
frus1929v03	d701
frus1913	d812
frus1902	d758
frus1921v02	d895
frus1920v03	d114
frus1919v02	d112
frus1928v03	d600
frus1907p1	d257
frus1920v03	d438
frus1916	d750
frus1921v01	d516
frus1906p2	d162
frus1914	d342
frus1918Supp01v02	d578
frus1914	d973
frus1900	d227
frus1916	d239
frus1910	d755
frus1919v02	d409
frus1929v01	d139
frus1920v03	d939
frus1911	d603
frus1922v01	d386
frus1925v02	d270
frus1911	d771
frus1919v02	d484
frus1913	d416
frus1923v01	d181
frus1927v03	d479
frus1926v01	d228
frus1929v03	d48
frus1929v03	d428
frus1920v03	d232
frus1924v02	d507
frus1919Parisv11	d240
frus1929v03	d592
frus1929v01	d457
frus1919Parisv11	d354
frus1924v01	d600
frus1903	d682
frus1908	d648
frus1928v01	d540
frus1929v01	d152
frus1928v01	d827
frus1903	d657
frus1914	d556
frus1926v01	d765
frus1928v01	d644
frus1914-20v01	d705
frus1919Parisv02	d660
frus1924v01	d113
frus1924v02	d648
frus1920v02	d232
frus1907p1	d439
frus1928v03	d275
frus1916	d118
frus1925v02	d294
frus1923v02	d1017
frus1929v01	d532
frus1907p1	d336
frus1909	d248
frus1925v01	d142
frus1903	d287
frus1919Parisv12	d182
frus1905	d913
frus1927v01	d81
frus1900	d588
frus1914	d314
frus1918	d722
frus1922v02	d11
frus1917	d75
frus1944v04	d133
frus1942v01	d771
frus1942v03	d534
frus1942v05	d516
frus1944v04	d240
frus1931v02	d26
frus1944v05	d1013
frus1938v04	d410
frus1939v01	d697
frus1945v02	d419
frus1940v02	d70
frus1944v04	d260
frus1934v01	d661
frus1944v05	d616
frus1933v03	d167
frus1941v06	d29
frus1944v07	d1106
frus1941-43	d310
frus1942v03	d158
frus1935v02	d303
frus1937v01	d869
frus1930v01	d243
frus1938v04	d487
frus1942v04	d108
frus1943v02	d199
frus1945v03	d236
frus1944v07	d1192
frus1939v02	d393
frus1935v03	d1046
frus1938v04	d277
frus1944v03	d396
frus1941v03	d876
frus1941v05	d464
frus1942v03	d419
frus1941v03	d565
frus1944v06	d735
frus1931v01	d515
frus1945v07	d1080
frus1943v05	d355
frus1939v05	d517
frus1940v02	d987
frus1934v01	d347
frus1939v04	d890
frus1944v04	d1217
frus1944v01	d894
frus1945v03	d776
frus1942v06	d332
frus1939v04	d87
frus1944v07	d818
frus1940v03	d420
frus1944v02	d486
frus1942v04	d586
frus1937v01	d917
frus1940v03	d206
frus1936v04	d264
frus1943v03	d511
frus1930v02	d105
frus1936v01	d214
frus1933v02	d9
frus1934v01	d680
frus1940v04	d240
frus1936v03	d132
frus1934v04	d691
frus1944v05	d211
frus1941v05	d748
frus1939v01	d838
frus1943v02	d330
frus1943v06	d355
frus1941v03	d563
frus1933v05	d197
frus1945v05	d224
frus1936v01	d549
frus1933v05	d103
frus1937v01	d84
frus1933v05	d24
frus1931v01	d14
frus1944v05	d1144
frus1944v02	d154
frus1945v08	d441
frus1945v04	d944
frus1933v04	d508
frus1943	d621
frus1940v04	d458
frus1934v01	d484
frus1942v04	d439
frus1938v01	d95
frus1941v04	d367
frus1945v07	d946
frus1944v03	d1251
frus1943v01	d122
frus1933v04	d84
frus1944v06	d476
frus1942v03	d99
frus1935v04	d429
frus1940v05	d328
frus1942v03	d394
frus1940v03	d306
frus1934v02	d354
frus1937v02	d362
frus1945v02	d781
frus1946v07	d306
frus1950v06	d7
frus1950v07	d743
frus1947v06	d287
frus1946v08	d634
frus1950v07	d395
frus1949v07p2	d175
frus1947v05	d488
frus1948v07	d191
frus1947v03	d12
frus1948v03	d599
frus1947v07	d1115
frus1949v06	d477
frus1950v03	d160
frus1946v09	d708
frus1948v09	d186
frus1947v07	d602
frus1948v03	d144
frus1951v07p2	d10
frus1946v02	d128
frus1948v08	d340
frus1950v07	d927
frus1946v01	d447
frus1946v01	d310
frus1948v06	d193
frus1946v07	d124
frus1950v04	d15
frus1949v07p2	d235
frus1949v08	d576
frus1949v09	d212
frus1950v07	d343
frus1950v04	d798
frus1946v10	d232
frus1946v07	d177
frus1947v03	d605
frus1948v05p2	d424
frus1951v07p1	d831
frus1947v03	d349
frus1946v11	d584
frus1946v11	d1094
frus1947v06	d53
frus1946v01	d667
frus1947v06	d224
frus1947v04	d38
frus1946v09	d89
frus1947v03	d82
frus1952-54v01p2	d63
frus1946v09	d366
frus1946v10	d412
frus1949v07p1	d221
frus1947v08	d251
frus1949v08	d454
frus1946v11	d296
frus1947v07	d494
frus1948v06	d351
frus1948v03	d87
frus1947v06	d731
frus1949v09	d1344
frus1950v06	d522
frus1951v06p2	d151
frus1946v08	d736
frus1951v07p1	d204
frus1949v08	d186
frus1946v08	d830
frus1947v07	d588
frus1951v07p1	d323
frus1946v08	d199
frus1949v05	d66
frus1947v07	d147
frus1947v04	d9
frus1950v06	d271
frus1949v09	d442
frus1948v07	d158
frus1949v07p1	d147
frus1952-54v01p2	d145
frus1949v08	d518
frus1949v07p1	d398
frus1946v07	d609
frus1949v01	d36
frus1947v05	d757
frus1948v04	d288
frus1946v01	d571
frus1946v11	d113
frus1946v05	d504
frus1946v05	d198
frus1949v06	d577
frus1947v03	d633
frus1947v05	d645
frus1949v08	d1246
frus1952-54v12p2	d222
frus1947v05	d52
frus1947v05	d396
frus1948v05p1	d32
frus1948v08	d173
frus1948v07	d718
frus1947v06	d70
frus1947v06	d602
frus1946v06	d230
frus1949v08	d913
frus1949v09	d877
