## B|1861-1899|nobody:explained-as-uncovered-role count=8096
  frus1871/d225 1871-06-05 head/from name='Mr. Moran' | head='Mr. Moran to Mr. Fish' | chap=Great Britain. united-kingdom d.Despatches | pocom=nobody | rule=[] 
  frus1866p3/d115 1866-10-06 head/from name='Señor Romero' | head='Señor Romero to Mr. Seward' | chap=Correspondence with the Mexi mexico notesFromFM | pocom=nobody | rule=[] 
  frus1895p2/d198 1896-01-25 enclosure/to name='Butler' | head='Mr. Butler to Mr. Olney .' | chap=Mexico mexico d.Despatches | pocom=nobody | rule=[] 
  frus1863p2/d166 1863-01-14 head/to name='Mr. Taylor' | head='Mr. Seward to Mr. Taylor .' | chap=Russia. russia d.Instructions,notesToFM | pocom=nobody | rule=[] 
  frus1895p2/d43 1895-02-12 head/from name='Peterson' | head='Mr. Peterson to Mr. Uhl .' | chap=Hawaii hawaii d.Despatches | pocom=nobody | rule=[] 
  frus1883/d304 1883-07-25 enclosure/to name='White' | head='No. 304. Mr. West to Mr. Frelinghuysen .' | chap=Correspondence with the lega united-kingdom notesFromFM | pocom=nobody | rule=[] 
  frus1896/d759 1896-02-06 enclosure/to name='Williams' | head='Mr. Williams to Mr. Uhl .' | chap=Spain spain consularDespatches | pocom=nobody | rule=[] 
  frus1874/d139 1873-11-24 head/from name='Williams' | head='No. 137. Mr. Williams to Mr. Fish .' | chap=China. china d.Despatches | pocom=nobody | rule=[] 
  frus1879/d287 1879-01-16 head/from name='Preston' | head='No. 263. Mr. Preston to Mr. Evarts .' | chap=Hayti. haiti notesFromFM | pocom=nobody | rule=[] 
  frus1888p2/d157 1888-04-28 head/from name='Romero' | head='No. 870. Mr. Romero to Mr. Bayard .' | chap=Mexico mexico notesFromFM | pocom=nobody | rule=[] 
## B|1861-1899|nobody:unexplained count=142
  frus1872p2v1/d481 1869-10-04 head/to name='Sherman' | head='Mr. Boutwell , Secretary of the Treasury, to General Sherman , Acting Secretary of' | chap=  lettersReceived | pocom=nobody | rule=[] 
  frus1870/d111 1870-08-18 head/to name='Mr. Read' | head='Mr. Davis to Mr. Read .' | chap=France. france d.Despatches | pocom=nobody | rule=[] 
  frus1863p1/d53 1862-10-30 head/to name='Mr. Mason' | head='Mr Mallory to Mr. Mason .' | chap=Great Britain. united-kingdom lettersReceived | pocom=nobody | rule=[] 
  frus1882/d163 1882-03-31 head/to name='West' | head='No. 38. Earl Granville to Mr. West .' | chap=Great Britain. united-kingdom d.Despatches | pocom=nobody | rule=[] 
  frus1895p1/d360 1895-03-27 head/to name='Campbell' | head='Mr. Uhl to Mr. Campbell .' | chap=France france d.Despatches | pocom=nobody | rule=[] 
  frus1893/d405 1892-12-12 head/to name='Romero' | head='Señor Diaz to Señor Romero .' | chap=Mexico mexico d.Despatches | pocom=nobody | rule=[] 
  frus1867p1/d228 1867-11-16 head/to name='Mr. Ford' | head='Lord Stanley to Mr. Ford' | chap=Great Britain. united-kingdom d.Despatches | pocom=nobody | rule=[] 
  frus1868p1/d277 1868-07-27 head/to name='Mr. Brown' | head='Mr. Cleveland to Mr. Brown' | chap=China. china d.Despatches | pocom=nobody | rule=[] 
  frus1872p2v1/d506 1869-11-23 head/to name='Phelps' | head='Mr. Field , Assistant Attorney-General, to Mr. Phelps , assistant district attorney.' | chap=  lettersReceived | pocom=nobody | rule=[] 
  frus1875v02/d247 1873-12-17 head/to name='Scott' | head='No. 546. Captain Whiting to Rear-Admiral Scott .' | chap=Spain. spain d.Despatches | pocom=nobody | rule=[] 
