type,note,noteClass,recordGroup,occurrences,recordsWithValue,exampleNumbers
Agency Disposition Number,,,59,64,64,DAL-0059-2011-0062-0004 ⁝ DAL-0059-2011-0023-0003 ⁝ DAL-0059-2011-0023-0002 ⁝ DAL-0059-2011-0010-0004
Agency Disposition Number,,,84,31,31,DAL-0084-2011-0013-0002 ⁝ DAL-0084-2011-0001-0001 ⁝ DAL-0084-2011-0014-0003 ⁝ DAL-0084-2011-0014-0001
Agency Disposition Number,,,286,175,168,AID/01250 ⁝ AID/25010 ⁝ AID/08100 ⁝ AID/08070
Agency Disposition Number,This agency-assigned identifier is a Department of State LOT number.,this agency assigned identifier is a department of state lot number,84,1,1,75F119
Agency Disposition Number,This is a Department of State LOT file number.,this is a department of state lot file number,59,1,1,73D363
Agency Disposition Number,This is a Department of State Lot file number.,this is a department of state lot file number,84,1,1,68F90
Agency Disposition Number,This is a Department of State assigned Lot File Number.,this is a department of state assigned lot file number,59,3,1,75D435 ⁝ 76D428 ⁝ 775398
Agency Disposition Number,This is a USAID Declassification Project Number.,this is a usaid declassification project number,286,1,1,94-166
Agency Disposition Number,This is a USAID Declassification Project number.,this is a usaid declassification project number,286,2,2,73-181 ⁝ 89-35
Agency Disposition Number,This number refers to item number 03200 in the USAID Washington Disposition Schedule.,this number refers to item number 03200 in the usaid washington disposition schedule,286,1,1,03200
Agency-Assigned Identifier,,,59,652,267,69D520 ⁝ 62D424 ⁝ 62D430 ⁝ 75D27
Agency-Assigned Identifier,,,84,24,14,69F159 ⁝ 69F066 ⁝ UD-UP 99 ⁝ 76F13
Agency-Assigned Identifier,,,286,58,15,AID-1253 ⁝ 01-08 ⁝ 02-109 ⁝ 03-143
Agency-Assigned Identifier,,,306,1951,1950,I99051 ⁝ I99050 ⁝ I99049 ⁝ I99048
Agency-Assigned Identifier,,,469,2,2,NND 978679 ⁝ NND 887702
Agency-Assigned Identifier,Department of State Lot File Number,department of state lot file number,59,4,4,Lot 58D707 ⁝ Lot 90D309 ⁝ Lot 75D34 ⁝ Lot 88D259
Agency-Assigned Identifier,Department of State Lot File number,department of state lot file number,59,2,1,Lot 73D212 ⁝ Lot 73D408
Agency-Assigned Identifier,Department of State Lot Number,department of state lot number,84,1,1,76F159
Agency-Assigned Identifier,Department of State Lot number,department of state lot number,59,1,1,62D23
Agency-Assigned Identifier,State Department Lot File,state department lot file,59,3,1,84D250 ⁝ 84D251 ⁝ 84D252
Agency-Assigned Identifier,State Department Lot File Number,state department lot file number,59,17,7,Lot 71D104 ⁝ Lot 71D105 ⁝ Lot 71D510 ⁝ Lot 74D460
Agency-Assigned Identifier,State Department Lot file number.,state department lot file number,59,2,1,83D283 ⁝ 87D375
Agency-Assigned Identifier,This  is a Department of State LOT File number.,this is a department of state lot file number,84,1,1,68F74
Agency-Assigned Identifier,This Agency-Assigned Identifier is a Department of State LOT number.,this agency assigned identifier is a department of state lot number,84,11,2,69F8 ⁝ 70F11 ⁝ 70F130 ⁝ 71F26
Agency-Assigned Identifier,This a Department of State lot file number.,this a department of state lot file number,59,1,1,58D728
Agency-Assigned Identifier,This agency assigned identifier is a Department of State LOT number.,this agency assigned identifier is a department of state lot number,84,1,1,75F76
Agency-Assigned Identifier,This agency-assigned identifier is a Department of State LOT file number.,this agency assigned identifier is a department of state lot file number,84,1,1,76F97
Agency-Assigned Identifier,This agency-assigned identifier is a Department of State LOT number.,this agency assigned identifier is a department of state lot number,84,19,7,74F176 ⁝ 71F73 ⁝ 72F149 ⁝ 73F132
Agency-Assigned Identifier,This identifier is the State Department lot file number.,this identifier is the state department lot file number,59,1,1,76D373
Agency-Assigned Identifier,This is Department of State File Lot Number.,this is department of state file lot number,84,1,1,71F178
Agency-Assigned Identifier,This is Department of State Lot File Number.,this is department of state lot file number,59,1,1,66D193
Agency-Assigned Identifier,This is Department of State Lot File number.,this is department of state lot file number,43,1,1,62D193
Agency-Assigned Identifier,This is Department of State Lot File number.,this is department of state lot file number,59,1,1,73D64
Agency-Assigned Identifier,This is Department of State Lot file number.,this is department of state lot file number,84,1,1,77F053
Agency-Assigned Identifier,This is USAID lot file number.,this is usaid lot file number,286,1,1,97-152
Agency-Assigned Identifier,This is a Department of Sate LOT file number.,this is a department of sate lot file number,59,1,1,62D430
Agency-Assigned Identifier,This is a Department of Sate Lot File number.,this is a department of sate lot file number,59,1,1,59D546
Agency-Assigned Identifier,This is a Department of State File Lot Number.,this is a department of state file lot number,84,1,1,74F181
Agency-Assigned Identifier,This is a Department of State File Lot number.,this is a department of state file lot number,84,1,1,78F3
Agency-Assigned Identifier,This is a Department of State LOT File Number.,this is a department of state lot file number,59,1,1,59D448
Agency-Assigned Identifier,This is a Department of State LOT File number.,this is a department of state lot file number,59,7,7,111 ⁝ 63D381 ⁝ 69D476 ⁝ 72D363
Agency-Assigned Identifier,This is a Department of State LOT File number.,this is a department of state lot file number,84,1,1,74D255
Agency-Assigned Identifier,This is a Department of State LOT file number,this is a department of state lot file number,84,5,3,69F1 ⁝ 70F117 ⁝ 65F76 ⁝ 67F67
Agency-Assigned Identifier,This is a Department of State LOT file number.,this is a department of state lot file number,43,32,22,73F64 ⁝ 71D100 ⁝ 71D265 ⁝ 66D488
Agency-Assigned Identifier,This is a Department of State LOT file number.,this is a department of state lot file number,59,159,119,66D148 ⁝ 66D95 ⁝ 63D351 ⁝ 62D430
Agency-Assigned Identifier,This is a Department of State LOT file number.,this is a department of state lot file number,84,549,253,68F137 ⁝ 67F96 ⁝ 68F152 ⁝ 67F82
Agency-Assigned Identifier,This is a Department of State LOT file number.,this is a department of state lot file number,306,6,6,69D361 ⁝ 68D286 ⁝ 70D450
Agency-Assigned Identifier,This is a Department of State LOT file.,this is a department of state lot file,84,1,1,59F179
Agency-Assigned Identifier,This is a Department of State LOT number.,this is a department of state lot number,84,5,1,70F48 ⁝ 71F140 ⁝ 72F4 ⁝ 73F67
Agency-Assigned Identifier,This is a Department of State Lot File Number.,this is a department of state lot file number,43,1,1,66D101
Agency-Assigned Identifier,This is a Department of State Lot File Number.,this is a department of state lot file number,59,21,8,71D204 ⁝ 71D234 ⁝ 71D375 ⁝ 71D383
Agency-Assigned Identifier,This is a Department of State Lot File Number.,this is a department of state lot file number,84,3,2,76F159 ⁝ 69F38 ⁝ 75F210
Agency-Assigned Identifier,This is a Department of State Lot File Number.,this is a department of state lot file number,306,2,2,69D503 ⁝ 64D287
Agency-Assigned Identifier,This is a Department of State Lot File number,this is a department of state lot file number,43,1,1,56D693
Agency-Assigned Identifier,This is a Department of State Lot File number.,this is a department of state lot file number,43,14,10,62D364 ⁝ 60D318 ⁝ 60D317 ⁝ 60D279
Agency-Assigned Identifier,This is a Department of State Lot File number.,this is a department of state lot file number,59,62,27,71D205 ⁝ 73D179 ⁝ 75D126 ⁝ 77D201
Agency-Assigned Identifier,This is a Department of State Lot File number.,this is a department of state lot file number,84,7,2,68F165 ⁝ 69F026 ⁝ 70F082 ⁝ 71F147
Agency-Assigned Identifier,This is a Department of State Lot File number.,this is a department of state lot file number,306,1,1,71D122
Agency-Assigned Identifier,This is a Department of State Lot File number.,this is a department of state lot file number,353,1,1,74D240
Agency-Assigned Identifier,This is a Department of State Lot Number.,this is a department of state lot number,306,4,3,67D591 ⁝ 67D612 ⁝ 64D27 ⁝ 66D144
Agency-Assigned Identifier,This is a Department of State Lot file number.,this is a department of state lot file number,43,1,1,66D120
Agency-Assigned Identifier,This is a Department of State Lot file number.,this is a department of state lot file number,59,267,99,75D312 ⁝ 71D287 ⁝ 71D230 ⁝ 77D051
Agency-Assigned Identifier,This is a Department of State Lot file number.,this is a department of state lot file number,84,84,21,70F053 ⁝ 72F051 ⁝ 73F097 ⁝ 73F101
Agency-Assigned Identifier,This is a Department of State Lot file number.,this is a department of state lot file number,306,17,12,62D218 ⁝ 69D221 ⁝ 70D179 ⁝ 70D302
Agency-Assigned Identifier,This is a Department of State Lot file number..,this is a department of state lot file number,59,1,1,56D625
Agency-Assigned Identifier,This is a Department of State Lot file.,this is a department of state lot file,59,7,4,57D149 ⁝ 56D225 ⁝ 56D256 ⁝ 60D330
Agency-Assigned Identifier,This is a Department of State Lot number.,this is a department of state lot number,59,1,1,69D525
Agency-Assigned Identifier,This is a Department of State Lot number.,this is a department of state lot number,84,109,35,77F148 ⁝ 75F184 ⁝ 69F58 ⁝ 71F65
