creatorNaId,heading,authorityType,recordCount,recordGroupCount,recordGroups,creatorTypes
10501640,Department of State. Office of the Secretary. (09/1789 - ),organization,496,7,43 59 76 84 169 306 353,Correspondent=1 Most Recent=452 Originator=8 Predecessor=35
10453324,Department of State. (09/1789 - ),organization,429,10,43 59 76 84 169 229 286 306 353 469,Author=1 Correspondent=4 Most Recent=379 Participant=1 Predecessor=43 Recipient=1
10502745,Department of State. Office of the Chief Clerk. (1789 - 01/26/1939),organization,167,4,43 59 76 182,Most Recent=141 Predecessor=26
10452773,U.S. Information Agency. (08/01/1953 - 04/01/1978),organization,135,2,59 306,Correspondent=4 Most Recent=129 Participant=1 Predecessor=1
10448887,Department of State. Office of the Secretary. Executive Secretariat. (1964 - ),organization,110,2,59 353,Most Recent=110
10472200,Department of State. Bureau of International Organization Affairs. Office of International Conferences. (08/25/1954 - 1986),organization,92,2,43 59,Most Recent=91 Predecessor=1
10447291,American Commission For the Protection and Salvage of Artistic and Historic Monuments In War Areas. (06/23/1943 - 06/30/1946),organization,91,1,239,Most Recent=91
10474384,Peace Corps. (1982 - ),organization,87,1,490,Most Recent=87
10485323,Arms Control and Disarmament Agency. (09/26/1961 - 04/01/1999),organization,86,2,59 383,Most Recent=85 Predecessor=1
10485209,"Mixed Claims Commission, United States and Germany. (1922 - 06/30/1941)",organization,73,2,43 76,Most Recent=73
10454759,Office for Emergency Management. Office of War Information. Overseas Operations Branch. New York Office. News and Features Bureau. (12/17/1942 - 09/15/1945),organization,69,1,208,Most Recent=68 Predecessor=1
10492554,Department of State. Office of the Legal Adviser. (07/01/1931 - ),organization,63,2,59 76,Most Recent=52 Predecessor=11
10510988,Department of State. Bureau of Indexes and Archives. (07/01/1873 - 01/01/1931),organization,61,2,59 76,Most Recent=60 Predecessor=1
10461258,Department of Defense. European Command. Office of Military Government for Germany (U.S.). (03/15/1947 - 09/21/1949),organization,60,2,43 466,Originator=2 Predecessor=58
10477429,Mutual Security Agency. Office of the Assistant Director for the Far East. Far East Program Division. (1951 - 08/01/1953),organization,60,1,469,Most Recent=12 Predecessor=48
10474973,U.S. Section. International Boundary Commission. United States and Mexico. 1891-1944,organization,59,1,76,Most Recent=58 Predecessor=1
10448869,Office for Emergency Management. Foreign Economic Administration. (09/25/1943 - 09/27/1945),organization,58,2,59 169,Most Recent=37 Predecessor=21
10496347,U.S. Information Agency. Office of the Assistant Director for Europe. (08/01/1953 - ca. 1971),organization,57,2,59 306,Most Recent=49 Predecessor=8
