keyPath,occurrences,recordsWithPath,presencePct,jsonTypes,distinctValues,examples
accessRestriction,11,11,100.0,object,0,
accessRestriction.note,3,3,27.3,string,1,Some or all records must be reviewed prior to being served to researchers.
accessRestriction.specificAccessRestrictions,6,6,54.5,array,0,
accessRestriction.specificAccessRestrictions[],6,6,54.5,object,0,
accessRestriction.specificAccessRestrictions[].restriction,6,6,54.5,string,2,FOIA (b)(1) National Security ⁝ FOIA (b)(6) Personal Information
accessRestriction.specificAccessRestrictions[].securityClassification,2,2,18.2,string,2,Top Secret ⁝ Confidential
accessRestriction.status,11,11,100.0,string,4,Unrestricted ⁝ Restricted - Fully ⁝ Restricted - Partly
accessionNumbers,11,11,100.0,array,0,
accessionNumbers[],17,11,100.0,string,12,NN3-486-10-001 ⁝ NN3-486-05-001 ⁝ NN3-486-10-002
ancestors,11,11,100.0,array,0,
ancestors[],11,11,100.0,object,0,
ancestors[].distance,11,11,100.0,int,1,1
ancestors[].inclusiveEndDate,11,11,100.0,object,0,
ancestors[].inclusiveEndDate.logicalDate,11,11,100.0,string,1,1998-12-31
ancestors[].inclusiveEndDate.year,11,11,100.0,int,1,1998
ancestors[].inclusiveStartDate,11,11,100.0,object,0,
ancestors[].inclusiveStartDate.logicalDate,11,11,100.0,string,1,1980-01-01
ancestors[].inclusiveStartDate.year,11,11,100.0,int,1,1980
ancestors[].levelOfDescription,11,11,100.0,string,1,recordGroup
ancestors[].naId,11,11,100.0,int,1,22345815
ancestors[].recordGroupNumber,11,11,100.0,int,1,486
ancestors[].title,11,11,100.0,string,1,Records of the U.S. Trade and Development Agency
arrangement,8,8,72.7,string,5,"Arranged by country and thereunder by subject. ⁝ Arranged alphabetically by region, and thereunder alphabetically by country name. ⁝ Arranged by region, and thereunder alphabetically by country."
audiovisual,7,7,63.6,string,1,false
coverageEndDate,4,4,36.4,object,0,
coverageEndDate.day,3,3,27.3,int,2,30 ⁝ 20
coverageEndDate.logicalDate,4,4,36.4,string,4,2001-04-30 ⁝ 1997-12-31 ⁝ 1994-04-20
coverageEndDate.month,3,3,27.3,int,2,4 ⁝ 9
coverageEndDate.year,4,4,36.4,int,3,2001 ⁝ 1997 ⁝ 1994
coverageStartDate,4,4,36.4,object,0,
coverageStartDate.day,3,3,27.3,int,3,1 ⁝ 6 ⁝ 4
coverageStartDate.logicalDate,4,4,36.4,string,4,1983-06-01 ⁝ 1987-01-01 ⁝ 1988-08-06
coverageStartDate.month,3,3,27.3,int,3,6 ⁝ 8 ⁝ 10
coverageStartDate.year,4,4,36.4,int,3,1983 ⁝ 1987 ⁝ 1988
creators,11,11,100.0,array,0,
creators[],17,11,100.0,object,0,
creators[].abolishDate,11,11,100.0,object,0,
creators[].abolishDate.day,11,11,100.0,int,1,27
creators[].abolishDate.logicalDate,11,11,100.0,string,1,1992-10-27
creators[].abolishDate.month,11,11,100.0,int,1,10
creators[].abolishDate.year,11,11,100.0,int,1,1992
creators[].authorityType,17,11,100.0,string,1,organization
creators[].creatorType,17,11,100.0,string,2,Most Recent ⁝ Predecessor
creators[].establishDate,17,11,100.0,object,0,
creators[].establishDate.day,17,11,100.0,int,2,1 ⁝ 28
creators[].establishDate.logicalDate,17,11,100.0,string,2,1980-07-01 ⁝ 1992-10-28
creators[].establishDate.month,17,11,100.0,int,2,7 ⁝ 10
creators[].establishDate.year,17,11,100.0,int,2,1980 ⁝ 1992
creators[].heading,17,11,100.0,string,3,U.S. International Development Cooperation Agency. Trade and Development Program. (07/01/1980 - 10/27/1992) ⁝ U.S. Trade and Development Agency. (10/28/1992 - ) ⁝ U.S. Trade and Development Agency. Office of the Director. (10/28/1992 - )
creators[].naId,17,11,100.0,int,3,10514123 ⁝ 10514124 ⁝ 475680186
dataControlGroup,11,11,100.0,object,0,
dataControlGroup.groupCd,11,11,100.0,string,1,RRAR
dataControlGroup.groupId,11,11,100.0,string,1,RRAR
dataControlGroup.groupName,11,11,100.0,string,1,National Archives at College Park – Textual Reference
dispositionAuthorityNumbers,11,11,100.0,array,0,
dispositionAuthorityNumbers[],12,11,100.0,string,8,N1/486/95/1/46 ⁝ N1/486/95/1/45B ⁝ N1-486-95-1-45B
findingAids,5,5,45.5,array,0,
findingAids[],5,5,45.5,object,0,
findingAids[].fileFormat,2,2,18.2,string,1,Portable Document File (PDF)
findingAids[].findingAidType,5,5,45.5,string,2,Folder List ⁝ Container List
findingAids[].note,5,5,45.5,string,3,A file list is located at the beginning of the series as well as with the reference unit. ⁝ An agency-provided folder list is located with the reference unit. ⁝ An agency provided container list is located with the reference unit.
findingAids[].source,2,2,18.2,string,2,United States Trade and Development Agency ⁝ United States Trade Development Agency
functionAndUse,4,4,36.4,string,4,United States Trade Development Agency used these records to document final deliverables of grant funded projects. ⁝ These records were collected and maintained to document the Director’s work to fulfill the U.S. Trade and Development Ag… ⁝ These records were collected and maintained to document speeches given at ceremonies or events by representatives of the…
generalNotes,6,6,54.5,array,0,
generalNotes[],6,6,54.5,string,2,"These records are unprocessed. Prior to requesting these records, please contact the National Archives office listed in … ⁝ These records are unprocessed.  Prior to requesting these records, please contact the National Archives office listed in…"
generalRecordsTypes,11,11,100.0,array,0,
