row,model,config,int8_score,float_cosine,top1_agreement_of_5
1,gemma,hamming200->int8-256,0.5472,0.5996,1
2,gemma,hamming200->int8-256,0.5368,0.684,2
3,gemma,hamming200->int8-256,0.8578,0.8736,1
4,gemma,hamming200->int8-256,0.8104,0.8569,4
5,gemma,hamming200->int8-256,0.784,0.7704,1
6,gemma,hamming200->int8-256,0.836,0.8285,1
7,gemma,hamming200->int8-256,0.8377,0.8792,2
8,gemma,hamming200->int8-256,0.7058,0.7534,3
9,gemma,hamming200->int8-256,0.8393,0.8697,5
10,gemma,hamming200->int8-256,0.8681,0.877,1
11,gemma,hamming200->int8-256,0.8152,0.8626,3
12,gemma,hamming200->int8-256,0.8419,0.8543,2
13,gemma,hamming200->int8-256,0.9211,0.9325,5
14,gemma,hamming200->int8-256,0.8527,0.8905,1
15,gemma,hamming200->int8-256,0.8986,0.9127,5
16,gemma,hamming200->int8-256,0.8055,0.8438,2
17,gemma,hamming200->int8-256,0.748,0.7737,4
18,gemma,hamming200->int8-256,0.8975,0.9155,4
19,gemma,hamming200->int8-256,0.8308,0.8447,1
20,gemma,hamming200->int8-256,0.9106,0.9145,3
21,gemma,hamming200->int8-256,0.7541,0.7438,1
22,gemma,hamming200->int8-256,0.8804,0.878,2
23,gemma,hamming200->int8-256,0.7414,0.793,5
24,gemma,hamming200->int8-256,0.7616,0.7753,1
25,gemma,hamming200->int8-256,0.8986,0.9127,5
26,gemma,hamming200->int8-256,0.9132,0.9275,4
27,gemma,hamming200->int8-256,0.8859,0.9038,2
28,gemma,hamming200->int8-256,0.8904,0.9132,4
29,gemma,hamming200->int8-256,0.8741,0.8915,5
30,gemma,hamming200->int8-256,0.8496,0.857,2
31,gemma,hamming200->int8-256,0.836,0.8285,1
32,gemma,hamming200->int8-256,0.816,0.824,2
33,gemma,hamming200->int8-256,0.8638,0.8814,1
34,gemma,hamming200->int8-256,0.8801,0.8958,3
35,gemma,hamming200->int8-256,0.8638,0.8763,4
36,gemma,hamming200->int8-256,0.8988,0.896,4
37,gemma,hamming200->int8-256,0.8538,0.8694,4
38,gemma,hamming200->int8-256,0.8135,0.8469,1
39,gemma,hamming200->int8-256,0.9041,0.9023,3
40,gemma,hamming200->int8-256,0.8428,0.8411,3
41,gemma,hamming200->int8-256,0.832,0.8192,4
42,gemma,hamming200->int8-256,0.8103,0.8239,1
43,gemma,hamming200->int8-256,0.89,0.8799,5
44,gemma,hamming200->int8-256,0.8588,0.8758,2
45,gemma,hamming200->int8-256,0.7525,0.768,2
46,gemma,hamming200->int8-256,0.8059,0.805,3
47,gemma,hamming200->int8-256,0.8533,0.8852,3
48,gemma,hamming200->int8-256,0.845,0.8773,2
49,gemma,hamming200->int8-256,0.8579,0.8439,4
50,gemma,hamming200->int8-256,0.7894,0.757,2
51,gemma,hamming200->int8-256,0.858,0.8739,3
52,gemma,hamming200->int8-256,0.8522,0.8516,5
53,gemma,hamming200->int8-256,0.8888,0.8976,4
54,gemma,hamming200->int8-256,0.7572,0.7858,1
55,gemma,hamming200->int8-256,0.877,0.8877,2
56,gemma,hamming200->int8-256,0.8736,0.8928,1
57,gemma,hamming200->int8-256,0.7843,0.7928,1
58,gemma,hamming200->int8-256,0.884,0.8726,4
59,gemma,hamming200->int8-256,0.8828,0.8896,5
60,gemma,hamming200->int8-256,0.769,0.7858,1
61,gemma,hamming200->int8-256,0.9037,0.9078,4
62,gemma,hamming200->int8-256,0.9085,0.9206,4
63,gemma,hamming200->int8-256,0.8703,0.8715,5
64,gemma,hamming200->int8-256,0.832,0.8424,1
65,gemma,hamming200->int8-256,0.8196,0.8158,1
66,gemma,hamming200->int8-256,0.8708,0.8668,3
67,gemma,hamming200->int8-256,0.8716,0.863,4
68,gemma,hamming200->int8-256,0.8487,0.8285,1
69,gemma,hamming200->int8-256,0.7711,0.8048,5
70,gemma,hamming200->int8-256,0.8343,0.8277,1
71,gemma,hamming200->int8-256,0.8512,0.8967,2
72,gemma,hamming200->int8-256,0.901,0.9045,2
73,gemma,hamming200->int8-256,0.8587,0.8835,5
74,gemma,hamming200->int8-256,0.844,0.8352,1
75,gemma,hamming200->int8-256,0.7981,0.8272,5
76,gemma,hamming200->int8-256,0.8252,0.8428,1
77,gemma,hamming200->int8-256,0.8509,0.8253,1
78,gemma,hamming200->int8-256,0.8703,0.8567,1
79,gemma,hamming200->int8-256,0.9101,0.9214,5
80,gemma,hamming200->int8-256,0.6758,0.7344,3
81,gemma,hamming200->int8-256,0.7854,0.8415,1
82,gemma,hamming200->int8-256,0.8481,0.8642,2
83,gemma,hamming200->int8-256,0.8426,0.8564,1
84,gemma,hamming200->int8-256,0.8802,0.9029,4
85,gemma,hamming200->int8-256,0.9305,0.9409,5
86,gemma,hamming200->int8-256,0.8218,0.8183,1
87,gemma,hamming200->int8-256,0.7944,0.8412,3
88,gemma,hamming200->int8-256,0.8266,0.8412,1
89,gemma,hamming200->int8-256,0.945,0.9381,3
90,gemma,hamming200->int8-256,0.7883,0.824,4
91,gemma,hamming200->int8-256,0.8696,0.8818,3
92,gemma,hamming200->int8-256,0.875,0.8954,3
93,gemma,hamming200->int8-256,0.8398,0.8708,2
94,gemma,hamming200->int8-256,0.8468,0.8332,1
95,gemma,hamming200->int8-256,0.906,0.9067,3
96,gemma,hamming200->int8-256,0.7678,0.7731,1
97,gemma,hamming200->int8-256,0.8405,0.8676,1
98,gemma,hamming200->int8-256,0.8713,0.8778,1
99,gemma,hamming200->int8-256,0.7597,0.78,2
100,gemma,hamming200->int8-256,0.8598,0.8867,5
