row,era,anchor_volume,anchor_doc,anchor_url,anchor_snippet,neighbor_volume,neighbor_doc,neighbor_url,neighbor_snippet,verdict (good / moderate / garbage),note
1,pre-1900,frus1861,d1,https://history.state.gov/historicaldocuments/frus1861/d1,"Schedule A . Executive Mansion , Washington, D. C. , 1861 . Rev.———— ————. Sir : Having been solicited by Christian ministers, and other pious people, to appoint suitable persons to act as chaplains at the hospitals for our sick and wounded soldiers, and feeling the intrinsic propriety of having such persons to so act, and yet believing there is no law conferring the power upon me to appoint them, I think fit to say that if you will voluntarily enter upon and perform the appropriate duties of such position, I will recommend that Congress make compensation therefor at the same rate as chaplains",frus1861,d2,https://history.state.gov/historicaldocuments/frus1861/d2,"Mr. Black ( Secretary of State ) to all the ministers of the United States . Department of State , Washington , February 28, 1861 . CIRCULAR. Sir : You are, of course, aware that the election of last November resulted in the choice of Mr. Abraham Lincoln; that he was the candidate of the republican or anti-slavery party; that the preceding discussion had been confined almost entirely to topics connected, directly or indirectly, with the subject of negro slavery; that every northern State cast its whole electoral vote (except three in New Jersey) for Mr. Lincoln, while in the whole south the po",,
2,pre-1900,frus1861,d302,https://history.state.gov/historicaldocuments/frus1861/d302,"Mr. Thayer to Mr. Seward . [Extract] No. 4.] United States Consulate General , Alexandria, Egypt , July 20, 1861 . Sir : * * * * * * * * Mr. Haywood, secretary of the Manchester Cotton Supply Association, is expected here daily on a mission to Egypt and India, relative to the prospective deficiency of cotton produced by the pending conflict in the United States. Mr. Haywood, while here, will endeavor to induce the Egyptian government to extend the cultivation of cotton. It is believed that the crop in Egypt could be increased tenfold if the government would tender its aid. Carelessness in allo",frus1861,d301,https://history.state.gov/historicaldocuments/frus1861/d301,"Mr. Thayer to Mr. Seward . No. 3.] United States Consulate General , Alexandria, Egypt , June 29, 1861 . Sir : I have the honor to inform yon of my arrival at this port on the morning of the 26th instant. The interruption of travel between Washington and New York, consequent on the late riotous proceedings in Baltimore, and my illness in Europe, necessarily prevented an earlier appearance at my post. Immediate notice of my arrival, coupled with a request for an early interview with the viceroy, was served on the minister of foreign affairs, who telegraphed accordingly to the Pacha, then sojour",,
3,pre-1900,frus1861,d160,https://history.state.gov/historicaldocuments/frus1861/d160,"Mr. Seward to Mr. Dayton . No. 80.] Department of State , Washington , November 7, 1861 . Sir : I have the honor to acknowledge the receipt of your despatch of October 22, (No. 69,) which is accompanied by a note from Mr. Thouvenel on the subject of my despatch to you, No. 56. I am, sir, your obedient servant, WILLIAM H. SEWARD. William L. Seward , Esq., &amp;c., &amp;c., &amp;c .",frus1861,d157,https://history.state.gov/historicaldocuments/frus1861/d157,"Mr. Seward to Mr. Dayton . No. 71.] Department of State , Washington , October 21, 1861 . Sir : Your despatch of September 30 (No. 54) has been duly received. Your vigilance in communicating to me Mr. Brown’s comments on the subject of confiscation is approved. You will have learned, however, from the press, before this paper shall reach you, that the crises he apprehended were unreal. I am, sir, your obedient servant, WILLIAM H. SEWARD. William L. Dayton , Esq., &amp;c., &amp;c., &amp;c .",,
4,pre-1900,frus1861,d224,https://history.state.gov/historicaldocuments/frus1861/d224,"Mr. Fay to Mr. Seward . [Extract.] No. 426.] United States Legation , Berne , June 3, 1861 . Sir : * * * * * * * * * Mr. Fogg has not yet arrived, although the telegraph announces that he is in London. Everything is ready for him here. A despatch for him has been received but not opened. Your circulars of April 27 and of May 6 have been received. The copies of the proclamation have been communicated to the federal council. * * * * * * * * * I have the honor to be, sir, with the highest consideration, your obedient servant, THEO. S. FAY. Hon. William H. Seward , Secretary of State of the United",frus1861,d227,https://history.state.gov/historicaldocuments/frus1861/d227,"Mr. Fogg to Mr. Seward . No. 1.] United States Legation , Berne , July 8, 1861 . Sir : Leaving New York for my post of duty on the steamer “Adriatic,” the 14th day of May, I reached Berne via Galway, London, and Paris, June 21, having previously ascertained by correspondence with my predecessor that it would be agreeable to him for me to take possession of the office, legation property, &amp;c., the 1st day of July. Making it my first duty, after arriving, to call on Mr. Fay at his house, I was received with the utmost frankness and cordiality, and with the offer of every facility to render my",,
5,pre-1900,frus1861,d276,https://history.state.gov/historicaldocuments/frus1861/d276,"Mr. Angel to Mr. Seward . [Extract.] No. 77.] Legation of the United States , Stockholm , May 30, 1861 . Sir : * * * * * * * * * Herewith I beg permission to enclose a copy of my note to Count Manderstrom, minister of foreign affairs, transmitting copies of the President’s proclamations establishing a blockade of the ports in the seceding States, which I hope may meet your approbation. I have the honor to be, with great respect, your obedient servant, BENJ. F. ANGEL. Hon. Wm. H. Seward , Secretary of State, &amp;c., &amp;c., &amp;c. [Untitled] Legation of the United States , Stockholm , May 22",frus1861,d164,https://history.state.gov/historicaldocuments/frus1861/d164,"Mr. Preston to Mr. Seward . [Extract] No. 54.] Legation of the United States , Madrid , May 25, 1861 . Sir : * * * * * * * * The proclamations of the President declaring the blockade of the ports of Virginia, North Carolina, and other southern States, have been transmitted to the government of her Catholic Majesty for its official notification. No commissioners have yet arrived in Spain to apply for the recognition of the southern States which have seceded from the Union, and none will probably come until the question has been determined by the cabinets of London or Paris. * * * * * * * I have",,
6,pre-1900,frus1861,d139,https://history.state.gov/historicaldocuments/frus1861/d139,"Mr. Seward to Mr. Dayton . [Extract.] No. 30.] Department of State , Washington , July 26, 1861 . Sir : * * * * * * * * The President is not impatient about the negotiations concerning neutral rights. We trust that we have kept our own position right and clear. You will probably find some anxiety on the part of the French government concerning a law which has passed Congress authorizing the President to close the ports held by the insurgents. I send you a copy of my instructions to Mr. Adams on that subject, which you will receive for your own government in that matter. * * * * * * * * * I am,",frus1861,d198,https://history.state.gov/historicaldocuments/frus1861/d198,"Mr. Seward to Mr. Clay . [Extract] No. 8.] Department of State , Washington , July 8, 1861 . Sir : Your despatch No. 3, dated June 7, was duly received, and the intelligence of your safe arrival at your destination afforded us much satisfaction. So also the President is highly gratified with the liberal and friendly sentiments concerning our domestic affairs, expressed to you by Prince Gortchacow. I transmit for your confidential perusal a copy of my last despatch to Mr. Dayton, on the subject of our proposition to accede to the declaration of the congress of Paris. The views it presents will ",,
7,pre-1900,frus1861,d22,https://history.state.gov/historicaldocuments/frus1861/d22,"Mr. Sanford to Mr. Seward . [Extracts.] No. 5.] Legation of the United States , Brussels , May 26, 1861 . Sir : I had a conversation to-day with M. de Vrière on the subject of the efforts of the commissioners of the so-called “Confederate States” to obtain recognition of the European powers. He informed me that no application had been made to him in this view, nor would it now be entertained if made. The revolution would receive no sanction by any act of Belgium. A small State, he continued, whose prosperity depended on the full exercise of the industrial pursuits of its people, they did not m",frus1861,d20,https://history.state.gov/historicaldocuments/frus1861/d20,"Mr. Seward to Mr. Sanford . No. 2.] Department of State , Washington , March 26, 1861 . Sir : Having spent the winter in Washington, you need not be informed of the attempts of a misguided party of citizens in several of the southern States, not unattended with violence and spoliation, to dismember the federal republic, and of their scheme to organize several of the States in a new revolutionary government, under the name of the Confederate States of America. Formidable as this conspiracy seemed at the beginning, it is now confidently believed that the policy of the present administration in r",,
8,pre-1900,frus1861,d300,https://history.state.gov/historicaldocuments/frus1861/d300,"Mr. Seward to Mr. Dickinson . No. 2.] Department of State , Washington , June 5, 1861 . Sir : The Spanish American states are important characters in the interesting drama of advancing civilization. They occupy a virgin domain equal to about one-eighth of the habitable part of the globe. Its fountains of wealth are inexhaustible. Its position secures it nearly equal advantages of trade and intercourse with the listless nations of the east, and with the vigorous nations of the west. Its ports, as well as all its transit routes are essential features in the commerce of the world. With the advant",frus1861,d163,https://history.state.gov/historicaldocuments/frus1861/d163,"Mr. Seward to Mr. Schurz . [Extract.] No. 2.] Department of State , Washington , April 27, 1861 . Sir : You receive the President’s instructions for the discharge of your very important mission at a moment when a domestic crisis, long apprehended with deep solicitude, is actually reached. For the first time since the foundations of this federal republic were laid with such pious care and consummate wisdom, an insurrection has developed itself, and assumed the organization and attitude of a separate political power. This organization Consists of several members of this Union, under the name of ",,
9,pre-1900,frus1861,d37,https://history.state.gov/historicaldocuments/frus1861/d37,"Mr. Corwin to Mr. Seward . [Extract.] No. 1.] Legation of the United States , City of Mexico , May 29, 1861 . Sir : * * * * * * * * I deem it of the very first importance that our consuls at every port on the Gulf of Mexico should be at their respective posts, with careful and specific instructions as to their treatment of vessels sailing under the flag of the Confederate States, or having papers from ports within those States, made out by officers under their authority. Should the relations now existing, or which may hereafter exist, between the United States and the seceding States be such a",frus1861,d38,https://history.state.gov/historicaldocuments/frus1861/d38,"Mr. Corwin to Mr. Seward . [Extracts.] No. 2. Legation of the United States , Mexico , June 29, 1861 . Sir : * * * * * * * * The present time is most propitious for securing the advantages and preventing the evils which I have suggested. The government here feels the strongest sympathy with the United States. * * * * * * * * It has been my constant endeavor since my arrival here to possess the Mexican mind of the true causes of our difficulties, and thus enable them to estimate the danger to this republic which will result from any unfavorable termination of them. I am quite sure that whilst t",,
10,pre-1900,frus1861,d155,https://history.state.gov/historicaldocuments/frus1861/d155,"Mr. Seward to Mr. Dayton . No. 66.] Department of State , Washington , October 10, 1861 . Sir : Some unaccounted for obstruction of the mails has caused a delay in the receipt of your despatch of the 7th of September (No. 44) until this time. As I expected, you very properly anticipated my instructions on the subject of the conditional execution of the treaty proposed by Mr. Thouvenel, and your proceedings in that respect are entirely approved. I am, sir, your obedient servant, WILLIAM H. SEWARD. William L. Dayton , Esq., &amp;c., &amp;c., &amp;c .",frus1861,d158,https://history.state.gov/historicaldocuments/frus1861/d158,"Mr. Seward to Mr. Dayton . No. 72.] Department of State , Washington , October 21, 1861 . Sir : Your despatch of September 30 (No. 55) has been received. I thank you for your diligence in transmitting the papers concerning our blockade, which it contains. The blockade is already very effective, quite as much so as any nation ever established. Proceedings are now on foot which will remove the premature objections of the French consul to which you allude. I am your obedient servant, WILLIAM H. SEWARD. Wm. L. Dayton , Esq., &amp;c., &amp;c .",,
