rank	docs	cumulative	share	hasNaId	repository	collection	authorityId
1	7056	7056	24.5%		Nixon	NSC Files	txt:nixon|nsc file
2	4016	11072	38.5%		Johnson Library	National Security File	txt:johnson library|national security file
3	3591	14663	51.0%		Carter Library	National Security Affairs	txt:carter library|national security affair
4	2036	16699	58.1%		Eisenhower Library	Whitman File	txt:eisenhower library|whitman file
5	1993	18692	65.0%		Kennedy Library	National Security Files	txt:kennedy library|national security file
6	1484	20176	70.1%		Ford Library	National Security Adviser	txt:ford library|national security adviser
7	958	21134	73.5%		Library of Congress	Manuscript Division	txt:library of congress|manuscript division
8	649	21783	75.7%		Eisenhower Library	Dulles Papers	txt:eisenhower library|dulles paper
9	572	22355	77.7%		Reagan Library	Executive Secretariat, National Security Council	txt:reagan library|executive secretariat
10	410	22765	79.1%		Eisenhower Library	Eisenhower papers	txt:eisenhower library|eisenhower paper
11	393	23158	80.5%		Carter Library	National Security Council	txt:carter library|national security council
12	303	23461	81.6%		Nixon	White House Tapes	txt:nixon|white house tape
13	209	23670	82.3%		National Defense University	Taylor Papers	txt:national defense university|taylor paper
14	207	23877	83.0%		Johnson Library	Recordings and Transcripts	txt:johnson library|recordings and transcript
15	182	24059	83.6%		Nixon	Kissinger Telephone Conversations	txt:nixon|kissinger telephone conversation
16	170	24229	84.2%		Kennedy Library	President’s Office Files	txt:kennedy library|president’s office file
17	161	24390	84.8%		Carter Library	Plains File	txt:carter library|plains file
18	156	24546	85.3%		Nixon	White House Special Files	txt:nixon|white house special file
19	149	24695	85.9%		Carter Library	Brzezinski Donated Material	txt:carter library|brzezinski donated material
20	149	24844	86.4%		Ford Library	NSC Institutional Files (H-Files)	txt:ford library|nsc institutional files (h-files)
21	145	24989	86.9%		Reagan Library	George Shultz Papers	txt:reagan library|george shultz paper
22	143	25132	87.4%		Eisenhower Library	White House Office Files	txt:eisenhower library|white house office file
23	127	25259	87.8%		Roosevelt Library	Hyde Park	txt:roosevelt library|hyde park
24	124	25383	88.3%		Reagan Library	Jack Matlock Files	txt:reagan library|jack matlock file
25	113	25496	88.6%		Nixon	NSC Institutional Files	txt:nixon|nsc institutional file
26	94	25590	89.0%		Johnson Library	White House Central Files	txt:johnson library|white house central file
27	93	25683	89.3%		Ford Library	National Security Council	txt:ford library|national security council
28	84	25767	89.6%		Nixon	Henry Kissinger Telephone Conversation Transcripts	txt:nixon|henry kissinger telephone conversation transcript
29	83	25850	89.9%		Eisenhower Library	Herter Papers	txt:eisenhower library|herter paper
30	81	25931	90.2%		Johnson Library	Tom Johnson ’s Notes of Meetings	txt:johnson library|tom johnson ’s notes of meeting
31	80	26011	90.4%			Paula J. Dobriansky Files	txt:|paula j. dobriansky file
32	79	26090	90.7%			Bush Presidential Records	txt:|bush presidential record
33	73	26163	91.0%		Johnson Library	Bator Papers	txt:johnson library|bator paper
34	62	26225	91.2%		Eisenhower Library	Staff Secretary Records	txt:eisenhower library|staff secretary record
35	62	26287	91.4%		Eisenhower Library	Project Clean Up	txt:eisenhower library|project clean up
36	57	26344	91.6%		Johnson Library	Meeting Notes File	txt:johnson library|meeting notes file
37	53	26397	91.8%		Kennedy Library	Hilsman Papers	txt:kennedy library|hilsman paper
38	52	26449	92.0%		Carter Library	Staff Office Files	txt:carter library|staff office file
39	49	26498	92.1%		Carter Library	White House Central Files	txt:carter library|white house central file
40	48	26546	92.3%		Johnson Library	Tom Johnson’s Notes of Meetings	txt:johnson library|tom johnson’s notes of meeting
